hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
179159,2,1,1,53,9,15,7,1
179190,1,1,1,41,11,15,1,1
179190,2,1,1,39,13,15,1,1
179365,1,1,1,55,11,19,1,1
179365,2,1,1,48,13,19,1,1
179551,1,2,1,57,10,14,6,1
179551,2,2,1,57,10,14,1,1
179868,1,1,2,37,13,13,1,1
179868,2,1,2,36,12,13,2,1
180031,1,1,1,56,10,7,1,1
180031,2,1,3,50,10,7,4,1
180416,1,2,2,44,10,14,1,1
180416,2,2,2,43,9,14,1,1
181408,1,2,1,30,12,11,4,1
181408,2,2,1,29,10,11,1,1
181950,1,1,1,63,12,14,5,1
181950,2,1,1,61,10,14,7,1
181964,1,1,1,44,12,16,1,1
181964,2,1,2,36,10,16,7,1
181987,1,2,1,45,9,7,6,1
181987,2,2,1,40,10,7,1,1
182800,1,1,1,34,10,16,1,1
182800,2,1,2,35,12,16,1,1
182896,1,2,1,48,10,15,2,1
182896,2,2,1,45,10,15,2,1
182991,1,1,1,39,12,16,1,1
182991,2,1,1,34,14,16,1,1
182995,1,1,4,38,13,15,1,1
182995,2,1,4,34,12,15,1,1
183244,1,1,2,51,4,13,1,1
183244,2,1,1,51,9,13,1,1
183842,1,1,1,42,11,13,1,1
183842,2,1,1,43,9,13,7,1
183969,1,1,1,58,10,15,2,1
183969,2,1,1,57,12,15,1,1
184000,1,1,1,61,14,18,5,1
184000,2,1,1,60,13,18,1,1
184105,1,1,1,59,12,13,6,1
184105,2,1,1,59,13,13,5,1
184427,1,1,1,41,13,19,1,1
184427,2,1,1,38,12,19,7,1
184529,1,1,1,37,14,19,1,1
184529,2,1,1,36,12,19,1,1
185312,1,1,4,39,12,15,1,1
185312,2,1,2,37,11,15,1,1
185557,1,1,1,46,10,18,2,1
185557,2,1,1,44,11,18,1,1
185770,1,1,1,61,14,16,2,1
185770,2,1,2,59,11,16,1,1
185853,1,1,1,55,11,16,1,1
185853,2,1,1,55,9,16,7,1
186442,1,1,1,59,9,16,1,1
186442,2,1,1,53,9,16,1,1
186939,1,1,1,35,9,12,1,1
186939,2,1,1,32,10,12,7,1
187780,1,1,1,27,10,13,1,1
187780,2,1,1,29,11,13,1,1
187965,1,2,1,61,13,14,7,1
